author	comment	vote
MetaphoricalGi	卡司牛批	0
曙光。	！！！！	0
梨子	卡司🉑️	0
火箭少女–芭比	看起来还不错	0
yudangy	陈正道和这阵容真是不得不期待了	0
就一养鱼的	是喜欢的题材喜欢的导演喜欢的演员了！	0
lindsoo	啥时候定档呀
超级期待的！！	0
范不思哲	陈正道哎	0
樱桃	喜欢这种题材	0
俗	老段就是唯一的理由	0
头像骗子	我喜欢悬疑，等着上	0
坍缩荞麦馍粒子	卧槽这是什么神仙卡司？哪里有老段哪里就有我	1
惟愿未圆.	悬疑是我想看的理由，还有段奕宏	0
拔碗流油粉	天王+影帝+在国产悬疑界颇有风格的导演，给我gkd上映	0
我不饿我不困	很期待子枫妹妹	0
Lisbeth	张子枫段奕宏郭富城 我天…	0
反弹	期待！	0
。	看这个简介有点《临渊而立》的味道，很期待	0
刚失恋的农m	c 7	0
肉肉爱吃肉	想看	0
。	这个卡司我太喜欢了	0
faith	这个阵容我他妈磕爆	0
Kelin	阵容每一个都喜欢…	1
